result_key,surface_power [wh],runtime [sec]
rows_55_c2c,521.0,64.35
rows_55_c2m,10741.212000000007,64.35
rows_60_a1,4843.29,0.02
rows_60_a2,15582.76,0.16
rows_60_a3,13434.87,1.29
rows_60_a4,7635.55,1.28
rows_60_b1,14048.55,1.08
rows_60_b2,13537.15,87.62
rows_60_c1s,466.0,1.53
rows_60_c1c,466.0,1.53
rows_60_c1m,10500.299999999997,1.53
rows_60_c1s,466.0,64.64
rows_60_c1c,466.0,64.64
rows_60_c1m,10500.299999999997,64.64
rows_60_c2s,466.0,1.14
rows_60_c2c,466.0,1.14
rows_60_c2m,10500.299999999997,1.14
rows_60_c2s,466.0,64.31
rows_60_c2c,466.0,64.31
rows_60_c2m,10500.299999999997,64.31
rows_65_a1,4290.52,0.02
rows_65_a2,15306.38,0.16
rows_65_a3,10900.04,1.29
rows_65_a4,6934.33,1.28
rows_65_b1,10585.3,1.08
rows_65_b2,12158.99,88.77
rows_65_c1s,411.0,1.27
rows_65_c1c,411.0,1.27
rows_65_c1m,7886.087999999995,1.27
rows_65_c1s,411.0,64.88
rows_65_c1c,411.0,64.88
rows_65_c1m,7886.087999999995,64.88
rows_65_c2s,411.0,1.14
rows_65_c2c,411.0,1.14
rows_65_c2m,7886.087999999995,1.14
rows_65_c2s,411.0,64.38
rows_65_c2c,411.0,64.38
rows_65_c2m,7886.087999999995,64.38
rows_70_a1,3737.76,0.02
rows_70_a2,3737.76,0.16
rows_70_a3,10513.1,1.29
rows_70_a4,6222.05,1.28
rows_70_b1,10190.46,1.08
rows_70_b2,10190.46,87.58
rows_70_c1s,356.0,1.26
rows_70_c1c,356.0,1.26
rows_70_c1m,7586.627999999996,1.26
rows_70_c1s,356.0,64.58
rows_70_c1c,356.0,64.58
rows_70_c1m,7586.627999999996,64.58
rows_70_c2s,356.0,1.14
rows_70_c2c,356.0,1.14
rows_70_c2m,7586.627999999996,1.14
rows_70_c2s,356.0,64.46
rows_70_c2c,356.0,64.46
rows_70_c2m,7586.627999999996,64.46
rows_75_a1,3083.07,0.02
rows_75_a2,3083.07,0.16
rows_75_a3,7730.9,1.29
rows_75_a4,5174.59,1.28
rows_75_b1,9722.83,1.07
rows_75_b2,9169.52,90.18
rows_75_c1s,301.0,1.55
rows_75_c1c,301.0,1.55
rows_75_c1m,7288.428000000001,1.55
rows_75_c1s,301.0,64.44
rows_75_c1c,301.0,64.44
rows_75_c1m,7288.428000000001,64.44
rows_75_c2s,301.0,1.14
rows_75_c2c,301.0,1.14
rows_75_c2m,7288.428000000001,1.14
rows_75_c2s,301.0,64.32
rows_75_c2c,301.0,64.32
rows_75_c2m,7288.428000000001,64.32
rows_80_a1,2105.78,0.02
rows_80_a2,2105.78,0.16
rows_80_a3,6949.07,1.29
rows_80_a4,4043.09,1.34
rows_80_b1,5565.27,1.07
rows_80_b2,6718.44,88.56
rows_80_c1s,247.0,1.27
rows_80_c1c,247.0,1.27
rows_80_c1m,4439.148000000001,1.27
rows_80_c1s,247.0,65.11
rows_80_c1c,247.0,65.11
rows_80_c1m,4439.148000000001,65.11
rows_80_c2s,247.0,1.15
rows_80_c2c,247.0,1.15
rows_80_c2m,4439.148000000001,1.15
rows_80_c2s,247.0,64.55
rows_80_c2c,247.0,64.55
rows_80_c2m,4439.148000000001,64.55
rows_85_a1,1314.22,0.02
rows_85_a2,1314.22,0.16
rows_85_a3,3815.02,1.29
rows_85_a4,3064.78,1.28
rows_85_b1,4886.79,1.07
rows_85_b2,4886.79,94.0
rows_85_c1s,193.0,1.27
rows_85_c1c,193.0,1.27
rows_85_c1m,4085.8440000000023,1.27
rows_85_c1s,193.0,64.78
rows_85_c1c,193.0,64.78
rows_85_c1m,4085.8440000000023,64.78
rows_85_c2s,193.0,1.15
rows_85_c2c,193.0,1.15
rows_85_c2m,4085.8440000000023,1.15
rows_85_c2s,193.0,64.98
rows_85_c2c,193.0,64.98
rows_85_c2m,4085.8440000000023,64.98
rows_90_a1,708.38,0.02
rows_90_a2,708.38,0.16
rows_90_a3,3269.77,1.32
rows_90_a4,2501.35,1.29
rows_90_b1,4367.5,1.09
rows_90_b2,3147.8,92.94
rows_90_c1s,140.0,1.29
rows_90_c1c,140.0,1.29
rows_90_c1m,3736.211999999997,1.29
rows_90_c1s,140.0,65.81
rows_90_c1c,140.0,65.81
rows_90_c1m,3736.211999999997,65.81
rows_90_c2s,140.0,1.17
rows_90_c2c,140.0,1.17
rows_90_c2m,3736.211999999997,1.17
rows_90_c2s,140.0,65.59
rows_90_c2c,140.0,65.59
rows_90_c2m,3736.211999999997,65.59
columns_10_a1,26322.23,0.02
columns_10_a2,26322.23,0.16
columns_10_a3,24053.25,1.31
columns_10_a4,23145.66,1.3
columns_10_b1,24431.42,1.09
columns_10_b2,24053.25,91.82
columns_10_c1s,2236.0,1.28
columns_10_c1c,2235.0,1.28
columns_10_c1m,18329.34600000001,1.28
columns_10_c1s,2236.0,65.62
columns_10_c1c,2235.0,65.62
columns_10_c1m,18329.34600000001,65.62
columns_10_c2s,2236.0,1.17
columns_10_c2c,2235.0,1.17
columns_10_c2m,18329.34600000001,1.17
columns_10_c2s,2236.0,65.64
columns_10_c2c,2235.0,65.64
columns_10_c2m,18329.34600000001,65.64
columns_15_a1,26322.23,0.02
columns_15_a2,22525.25,0.16
columns_15_a3,24044.04,1.31
columns_15_a4,21993.67,1.3
columns_15_b1,22525.25,1.09
columns_15_b2,22904.95,92.12
columns_15_c1s,1885.0,1.3
columns_15_c1c,1884.0,1.3
columns_15_c1m,16891.378,1.3
columns_15_c1s,1885.0,65.63
columns_15_c1c,1884.0,65.63
columns_15_c1m,16891.378,65.63
columns_15_c2s,1885.0,1.16
columns_15_c2c,1884.0,1.16
columns_15_c2m,16891.378,1.16
columns_15_c2s,1885.0,65.5
columns_15_c2c,1884.0,65.5
columns_15_c2m,16891.378,65.5
columns_20_a1,26322.23,0.02
columns_20_a2,22509.89,0.16
columns_20_a3,21747.43,1.31
columns_20_a4,20832.47,1.36
columns_20_b1,22509.89,1.12
columns_20_b2,21747.43,94.84
columns_20_c1s,1885.0,1.38
columns_20_c1c,1884.0,1.38
columns_20_c1m,16879.772000000004,1.38
columns_20_c1s,1885.0,65.58
columns_20_c1c,1884.0,65.58
columns_20_c1m,16879.772000000004,65.58
columns_20_c2s,1885.0,1.16
columns_20_c2c,1884.0,1.16
columns_20_c2m,16879.772000000004,1.16
columns_20_c2s,1885.0,65.51
columns_20_c2c,1884.0,65.51
columns_20_c2m,16879.772000000004,65.51
columns_25_a1,26322.23,0.02
columns_25_a2,22494.54,0.16
columns_25_a3,19432.39,1.34
columns_25_a4,19662.05,1.3
columns_25_b1,20580.69,1.09
columns_25_b2,20580.69,91.92
columns_25_c1s,1535.0,1.29
columns_25_c1c,1532.0,1.29
columns_25_c1m,15424.41599999999,1.29
columns_25_c1s,1535.0,65.64
columns_25_c1c,1532.0,65.64
columns_25_c1m,15424.41599999999,65.64
columns_25_c2s,1535.0,1.16
columns_25_c2c,1532.0,1.16
columns_25_c2m,15424.41599999999,1.16
columns_25_c2s,1535.0,68.64
columns_25_c2c,1532.0,68.64
columns_25_c2m,15424.41599999999,68.64
columns_30_a1,26322.23,0.02
columns_30_a2,18627.43,0.18
columns_30_a3,19396.91,1.48
columns_30_a4,18473.54,1.55
columns_30_b1,18627.43,1.18
columns_30_b2,19396.91,115.7
columns_30_c1s,1186.0,2.18
columns_30_c1c,1183.0,2.18
columns_30_c1m,13957.496000000001,2.18
columns_30_c1s,1186.0,68.44
columns_30_c1c,1183.0,68.44
columns_30_c1m,13957.496000000001,68.44
columns_30_c2s,1186.0,1.16
columns_30_c2c,1183.0,1.16
columns_30_c2m,13957.496000000001,1.16
columns_30_c2s,1186.0,64.79
columns_30_c2c,1183.0,64.79
columns_30_c2m,13957.496000000001,64.79
columns_35_a1,26322.23,0.02
columns_35_a2,18567.37,0.16
columns_35_a3,17016.39,1.31
columns_35_a4,17249.04,1.29
columns_35_b1,18567.37,1.08
columns_35_b2,18179.62,103.93
columns_35_c1s,1187.0,1.68
columns_35_c1c,1184.0,1.68
columns_35_c1m,13934.340000000006,1.68
columns_35_c1s,1187.0,65.33
columns_35_c1c,1184.0,65.33
columns_35_c1m,13934.340000000006,65.33
columns_35_c2s,1187.0,1.16
columns_35_c2c,1184.0,1.16
columns_35_c2m,13934.340000000006,1.16
columns_35_c2s,1187.0,64.69
columns_35_c2c,1184.0,64.69
columns_35_c2m,13934.340000000006,64.69
columns_40_a1,26322.23,0.02
columns_40_a2,18509.02,0.16
columns_40_a3,16946.38,1.3
columns_40_a4,16008.79,1.29
columns_40_b1,16555.72,1.08
columns_40_b2,16946.38,96.9
columns_40_c1s,841.0,1.39
columns_40_c1c,835.0,1.39
columns_40_c1m,12450.123,1.39
columns_40_c1s,841.0,65.06
columns_40_c1c,835.0,65.06
columns_40_c1m,12450.123,65.06
columns_40_c2s,841.0,1.15
columns_40_c2c,835.0,1.15
columns_40_c2m,12450.123,1.15
