result_key,surface_power [wh],runtime [sec]
columns_80_a2,5777.03,0.16
columns_80_a3,4133.41,1.32
columns_80_a4,5612.67,1.31
columns_80_b1,5777.03,1.12
columns_80_b2,6598.84,95.11
columns_85_a1,1539.38,0.02
columns_85_a2,1539.38,0.16
columns_85_a3,4017.66,1.29
columns_85_a4,4265.49,1.29
columns_85_b1,5669.85,1.08
columns_85_b2,5256.8,91.95
columns_90_a1,1415.93,0.02
columns_90_a2,1415.93,0.16
columns_90_a3,1415.93,1.33
columns_90_a4,2910.3,1.34
columns_90_b1,3491.45,1.08
columns_90_b2,3906.56,99.94
rectangle_10_a1,8001.96,0.02
rectangle_10_a2,26322.23,0.17
rectangle_10_a3,24123.8,1.34
rectangle_10_a4,25406.22,1.3
rectangle_10_b1,23705.05,1.08
rectangle_10_b2,24388.42,95.59
rectangle_15_a1,7580.8,0.02
rectangle_15_a2,16951.52,0.16
rectangle_15_a3,23323.6,1.29
rectangle_15_a4,24822.92,1.29
rectangle_15_b1,23644.88,1.08
rectangle_15_b2,23585.39,91.06
rectangle_20_a1,7159.65,0.02
rectangle_20_a2,16740.94,0.16
rectangle_20_a3,21723.21,1.3
rectangle_20_a4,24022.72,1.29
rectangle_20_b1,22215.96,1.08
rectangle_20_b2,22626.59,95.95
rectangle_25_a1,6738.49,0.02
rectangle_25_a2,13266.4,0.16
rectangle_25_a3,20447.11,1.31
rectangle_25_a4,23188.83,1.57
rectangle_25_b1,22125.71,1.11
rectangle_25_b2,21659.43,96.95
rectangle_30_a1,6317.34,0.02
rectangle_30_a2,12985.63,0.16
rectangle_30_a3,19120.47,1.38
rectangle_30_a4,22121.2,1.32
rectangle_30_b1,22035.47,1.09
rectangle_30_b2,20558.91,92.13
rectangle_35_a1,5896.18,0.02
rectangle_35_a2,12704.86,0.16
rectangle_35_a3,17743.29,1.31
rectangle_35_a4,21419.98,1.3
rectangle_35_b1,16595.54,1.09
rectangle_35_b2,19302.8,99.58
rectangle_40_a1,5475.02,0.02
rectangle_40_a2,12424.09,0.16
rectangle_40_a3,17357.93,1.3
rectangle_40_a4,20901.96,1.3
rectangle_40_b1,16394.99,1.09
rectangle_40_b2,18148.8,103.04
rectangle_45_a1,5053.87,0.02
rectangle_45_a2,8598.59,0.17
rectangle_45_a3,14411.95,1.34
rectangle_45_a4,20154.4,1.33
rectangle_45_b1,16194.44,1.11
rectangle_45_b2,16869.62,99.58
rectangle_50_a1,4632.71,0.02
rectangle_50_a2,8247.63,0.16
rectangle_50_a3,12440.94,1.31
rectangle_50_a4,18514.0,1.3
rectangle_50_b1,15993.89,1.1
rectangle_50_b2,15477.47,98.15
rectangle_55_a1,4211.56,0.02
rectangle_55_a2,7896.67,0.16
rectangle_55_a3,12171.4,1.31
rectangle_55_a4,17699.07,1.29
rectangle_55_b1,15793.34,1.08
rectangle_55_b2,14608.84,97.27
rectangle_60_a1,3790.4,0.02
rectangle_60_a2,3790.4,0.16
rectangle_60_a3,10099.31,1.3
rectangle_60_a4,15281.63,1.31
rectangle_60_b1,12910.43,1.08
rectangle_60_b2,13017.72,101.71
rectangle_65_a1,3369.25,0.02
rectangle_65_a2,3369.25,0.16
rectangle_65_a3,9796.08,1.3
rectangle_65_a4,13927.62,1.29
rectangle_65_b1,12659.74,1.08
rectangle_65_b2,11302.6,103.48
rectangle_70_a1,2641.49,0.02
rectangle_70_a2,2641.49,0.16
rectangle_70_a3,5009.56,1.31
rectangle_70_a4,12587.4,1.3
rectangle_70_b1,12226.55,1.09
rectangle_70_b2,9877.27,99.94
rectangle_75_a1,1940.69,0.02
rectangle_75_a2,1940.69,0.16
rectangle_75_a3,1940.69,1.31
rectangle_75_a4,10230.41,1.31
rectangle_75_b1,8906.84,1.1
rectangle_75_b2,8210.23,98.87
rectangle_80_a1,1347.7,0.02
rectangle_80_a2,1347.7,0.17
rectangle_80_a3,1347.7,1.31
rectangle_80_a4,9339.55,1.29
rectangle_80_b1,5510.12,1.08
rectangle_80_b2,6174.13,96.41
rectangle_85_a1,862.53,0.02
rectangle_85_a2,862.53,0.16
rectangle_85_a3,862.53,1.3
rectangle_85_a4,5699.87,1.29
rectangle_85_b1,862.53,1.08
rectangle_85_b2,4651.17,99.54
rectangle_90_a1,485.17,0.02
rectangle_90_a2,485.17,0.16
rectangle_90_a3,485.17,1.33
rectangle_90_a4,2293.77,1.31
rectangle_90_b1,485.17,1.12
rectangle_90_b2,2945.84,100.69
circle_10_a1,4211.56,0.02
circle_10_a2,22637.12,0.16
circle_10_a3,23668.95,1.34
circle_10_a4,24995.59,1.31
circle_10_b1,24742.9,1.09
circle_10_b2,24080.45,104.71
circle_15_a1,4073.36,0.02
circle_15_a2,18905.94,0.16
circle_15_a3,22317.43,1.3
circle_15_a4,24319.83,1.28
circle_15_b1,23143.82,1.08
circle_15_b2,22914.27,101.84
circle_20_a1,3935.17,0.02
circle_20_a2,18859.88,0.16
circle_20_a3,20949.34,1.34
circle_20_a4,23188.04,1.29
circle_20_b1,22058.03,1.08
circle_20_b2,21755.98,107.34
