,mask,coverage,factor
0,ellipse,90,0.02
1,ellipse,30,0.03
2,random_squares_small,90,0.05
3,organic,30,0.28
4,rectangle,10,0.31
5,organic,90,0.02
6,random_squares_small,30,0.85
7,triangle,70,0.04
8,circle,90,0.02
9,rows,70,0.04
10,columns,70,0.02
11,random_squares_large,90,0.06
12,random_squares_large,30,0.85
13,circle,30,0.04
14,rows,30,0.28
15,columns,30,0.04
16,circle,70,0.02
17,columns,90,0.02
18,rows,90,0.02
19,random_squares_large,70,0.22
20,triangle,90,0.02
21,organic,70,0.03
22,random_squares_small,70,0.18
23,triangle,30,0.12
24,rectangle,50,0.03
25,ellipse,70,0.02
26,ellipse,50,0.03
27,columns,10,0.12
28,rows,10,0.45
29,circle,50,0.02
30,random_squares_large,50,0.36
31,organic,50,0.08
32,triangle,10,0.33
33,random_squares_small,50,0.36
34,rectangle,70,0.02
35,organic,10,0.44
36,rectangle,90,0.02
37,rectangle,30,0.06
38,triangle,50,0.05
39,random_squares_small,10,0.92
40,columns,50,0.03
41,rows,50,0.14
42,random_squares_large,10,0.95
43,circle,10,0.11
44,ellipse,10,0.08
