,X,Y,Z,X_v,Y_v,Z_v
0,0.622358262539,1.43770158291,0.265116065741,0.0,-1.0,0.0
1,0.622358262539,1.43770158291,0.795348197222,0.0,-1.0,0.0
2,0.622358262539,1.43770158291,1.3255802989,0.0,-1.0,0.0
3,0.622358262539,1.43770158291,1.85581243038,0.0,-1.0,0.0
4,0.622358262539,1.43770158291,2.38604450226,0.0,-1.0,0.0
5,0.622358262539,1.43770158291,2.91627657413,0.0,-1.0,0.0
6,0.622358262539,1.43770158291,3.44650864601,0.0,-1.0,0.0
7,0.622358262539,1.43770158291,3.9767408371,0.0,-1.0,0.0
8,0.622358262539,1.43770158291,4.50697302818,0.0,-1.0,0.0
9,0.622358262539,1.43770158291,5.03720498085,0.0,-1.0,0.0
10,0.622358262539,1.43770158291,5.56743717194,0.0,-1.0,0.0
11,0.622358262539,1.43770158291,6.09766936302,0.0,-1.0,0.0
12,0.622358262539,1.43770158291,6.62790131569,0.0,-1.0,0.0
13,1.12415501475,1.43770158291,0.265116065741,0.0,-1.0,0.0
14,1.12415501475,1.43770158291,0.795348197222,0.0,-1.0,0.0
15,1.12415501475,1.43770158291,1.3255802989,0.0,-1.0,0.0
16,1.12415501475,1.43770158291,1.85581243038,0.0,-1.0,0.0
17,1.12415501475,1.43770158291,2.38604450226,0.0,-1.0,0.0
18,1.12415501475,1.43770158291,2.91627657413,0.0,-1.0,0.0
19,1.12415501475,1.43770158291,3.44650864601,0.0,-1.0,0.0
20,1.12415501475,1.43770158291,3.9767408371,0.0,-1.0,0.0
21,1.12415501475,1.43770158291,4.50697302818,0.0,-1.0,0.0
22,1.12415501475,1.43770158291,5.03720498085,0.0,-1.0,0.0
23,1.12415501475,1.43770158291,5.56743717194,0.0,-1.0,0.0
24,1.12415501475,1.43770158291,6.09766936302,0.0,-1.0,0.0
25,1.12415501475,1.43770158291,6.62790131569,0.0,-1.0,0.0
26,1.62595170736,1.43770158291,0.265116065741,0.0,-1.0,0.0
27,1.62595170736,1.43770158291,0.795348197222,0.0,-1.0,0.0
28,1.62595170736,1.43770158291,1.3255802989,0.0,-1.0,0.0
29,1.62595170736,1.43770158291,1.85581243038,0.0,-1.0,0.0
30,1.62595170736,1.43770158291,2.38604450226,0.0,-1.0,0.0
31,1.62595170736,1.43770158291,2.91627657413,0.0,-1.0,0.0
32,1.62595170736,1.43770158291,3.44650864601,0.0,-1.0,0.0
33,1.62595170736,1.43770158291,3.9767408371,0.0,-1.0,0.0
34,1.62595170736,1.43770158291,4.50697302818,0.0,-1.0,0.0
35,1.62595170736,1.43770158291,5.03720498085,0.0,-1.0,0.0
36,1.62595170736,1.43770158291,5.56743717194,0.0,-1.0,0.0
37,1.62595170736,1.43770158291,6.09766936302,0.0,-1.0,0.0
38,1.62595170736,1.43770158291,6.62790131569,0.0,-1.0,0.0
39,2.12774842978,1.43770158291,0.265116065741,0.0,-1.0,0.0
40,2.12774842978,1.43770158291,0.795348197222,0.0,-1.0,0.0
41,2.12774842978,1.43770158291,1.3255802989,0.0,-1.0,0.0
42,2.12774842978,1.43770158291,1.85581243038,0.0,-1.0,0.0
43,2.12774842978,1.43770158291,2.38604450226,0.0,-1.0,0.0
44,2.12774842978,1.43770158291,2.91627657413,0.0,-1.0,0.0
45,2.12774842978,1.43770158291,3.44650864601,0.0,-1.0,0.0
46,2.12774842978,1.43770158291,3.9767408371,0.0,-1.0,0.0
47,2.12774842978,1.43770158291,4.50697302818,0.0,-1.0,0.0
48,2.12774842978,1.43770158291,5.03720498085,0.0,-1.0,0.0
49,2.12774842978,1.43770158291,5.56743717194,0.0,-1.0,0.0
50,2.12774842978,1.43770158291,6.09766936302,0.0,-1.0,0.0
51,2.12774842978,1.43770158291,6.62790131569,0.0,-1.0,0.0
52,2.62954521179,1.43770158291,0.265116065741,0.0,-1.0,0.0
53,2.62954521179,1.43770158291,0.795348197222,0.0,-1.0,0.0
54,2.62954521179,1.43770158291,1.3255802989,0.0,-1.0,0.0
55,2.62954521179,1.43770158291,1.85581243038,0.0,-1.0,0.0
56,2.62954521179,1.43770158291,2.38604450226,0.0,-1.0,0.0
57,2.62954521179,1.43770158291,2.91627657413,0.0,-1.0,0.0
