result_key,surface_power [wh],runtime [sec]
rows_10_a1,21057.78,0.02
rows_10_a2,21057.78,0.16
rows_10_a3,19781.68,1.3
rows_10_a4,17229.48,1.56
rows_10_b1,19234.78,1.07
rows_10_b2,19842.45,100.56
rows_10_c1s,14320.0,1.4
rows_10_c1c,11128.0,1.4
rows_10_c1m,14493.420000000013,1.4
rows_10_c2s,13263.0,63.93
rows_10_c2c,10296.0,63.93
rows_10_c2m,13340.683000000028,63.93
rows_15_a1,21057.78,0.02
rows_15_a2,21057.78,0.16
rows_15_a3,19737.46,1.28
rows_15_a4,15248.36,1.28
rows_15_b1,19171.61,1.08
rows_15_b2,19171.61,88.46
rows_15_c1s,14277.0,1.26
rows_15_c1c,11094.0,1.26
rows_15_c1m,14444.988000000012,1.26
rows_15_c2s,13164.0,64.7
rows_15_c2c,10254.0,64.7
rows_15_c2m,13231.392000000025,64.7
rows_20_a1,21057.78,0.02
rows_20_a2,21057.78,0.16
rows_20_a3,18328.69,1.29
rows_20_a4,14235.06,1.31
rows_20_b1,19108.43,1.08
rows_20_b2,18279.96,92.54
rows_20_c1s,14233.0,1.24
rows_20_c1c,11059.0,1.24
rows_20_c1m,14396.580000000014,1.24
rows_20_c2s,11868.0,64.11
rows_20_c2c,9251.0,64.11
rows_20_c2m,11902.843000000017,64.11
rows_25_a1,21057.78,0.02
rows_25_a2,21057.78,0.17
rows_25_a3,18240.25,1.31
rows_25_a4,13027.82,1.28
rows_25_b1,17032.74,1.07
rows_25_b2,17368.16,91.12
rows_25_c1s,12504.0,1.33
rows_25_c1c,9872.0,1.33
rows_25_c1m,12820.848000000009,1.33
rows_25_c2s,11615.0,64.33
rows_25_c2c,9152.0,64.33
rows_25_c2m,11733.410000000014,64.33
rows_30_a1,21057.78,0.02
rows_30_a2,21057.78,0.16
rows_30_a3,16698.82,1.28
rows_30_a4,11758.67,1.3
rows_30_b1,16906.39,1.07
rows_30_b2,16906.39,86.75
rows_30_c1s,12416.0,1.29
rows_30_c1c,9806.0,1.29
rows_30_c1m,12724.104000000003,1.29
rows_30_c2s,11546.0,64.93
rows_30_c2c,9114.0,64.93
rows_30_c2m,11657.979000000012,64.93
rows_35_a1,21057.78,0.02
rows_35_a2,13571.74,0.16
rows_35_a3,16566.16,1.28
rows_35_a4,10876.77,1.29
rows_35_b1,16780.05,1.08
rows_35_b2,15710.61,87.88
rows_35_c1s,12328.0,1.59
rows_35_c1c,9739.0,1.59
rows_35_c1m,12627.432000000006,1.59
rows_35_c2s,10053.0,65.36
rows_35_c2c,7976.0,65.36
rows_35_c2m,10125.183000000003,65.36
rows_40_a1,21057.78,0.02
rows_40_a2,13350.63,0.16
rows_40_a3,14892.06,1.29
rows_40_a4,9959.49,1.28
rows_40_b1,14451.66,1.07
rows_40_b2,14818.66,88.37
rows_40_c1s,10424.0,1.26
rows_40_c1c,7950.0,1.26
rows_40_c1m,10858.536000000004,1.26
rows_40_c2s,9781.0,64.43
rows_40_c2c,7803.0,64.43
rows_40_c2m,9924.814000000013,64.43
rows_45_a1,21057.78,0.02
rows_45_a2,13129.53,0.16
rows_45_a3,14715.18,1.29
rows_45_a4,9006.84,1.27
rows_45_b1,14262.14,1.08
rows_45_b2,13884.6,81.85
rows_45_c1s,10293.0,1.34
rows_45_c1c,7862.0,1.34
rows_45_c1m,10713.851999999995,1.34
rows_45_c2s,9163.0,64.37
rows_45_c2c,6761.0,64.37
rows_45_c2m,9297.804,64.37
rows_50_a1,21057.78,0.02
rows_50_a2,12908.42,0.16
rows_50_a3,12908.42,1.28
rows_50_a4,7692.83,1.28
rows_50_b1,14072.62,1.06
rows_50_b2,12908.42,83.47
rows_50_c1s,10162.0,1.26
rows_50_c1c,7774.0,1.26
rows_50_c1m,10569.419999999996,1.26
rows_50_c2s,8093.0,64.72
rows_50_c2c,6535.0,64.72
rows_50_c2m,8104.981999999996,64.72
rows_55_a1,4316.85,0.02
rows_55_a2,12687.31,0.16
rows_55_a3,11013.22,1.28
rows_55_a4,6827.99,1.28
rows_55_b1,11491.53,1.07
rows_55_b2,11890.13,89.78
