result_key,surface_power [wh],runtime [sec]
rows_80_c2s,734.0,64.2
rows_80_c2c,581.0,64.2
rows_80_c2m,765.1780000000001,64.2
rows_85_a1,52.57,0.02
rows_85_a2,52.57,0.16
rows_85_a3,573.76,1.28
rows_85_a4,417.4,1.27
rows_85_b1,797.12,1.06
rows_85_b2,797.12,83.34
rows_85_c1s,635.0,1.23
rows_85_c1c,517.0,1.23
rows_85_c1m,786.4680000000005,1.23
rows_85_c2s,742.0,64.7
rows_85_c2c,567.0,64.7
rows_85_c2m,769.4079999999998,64.7
rows_90_a1,28.34,0.02
rows_90_a2,28.34,0.16
rows_90_a3,551.95,1.29
rows_90_a4,394.86,1.28
rows_90_b1,776.35,1.07
rows_90_b2,527.01,87.92
rows_90_c1s,576.0,1.27
rows_90_c1c,464.0,1.27
rows_90_c1m,721.7400000000006,1.27
rows_90_c2s,359.0,64.01
rows_90_c2c,240.0,64.01
rows_90_c2m,374.7410000000001,64.01
columns_10_a1,5264.45,0.02
columns_10_a2,5264.45,0.16
columns_10_a3,4754.04,1.27
columns_10_a4,4549.88,1.27
columns_10_b1,4839.11,1.07
columns_10_b2,4754.04,83.32
columns_10_c1s,3398.0,1.22
columns_10_c1c,2878.0,1.22
columns_10_c1m,3597.236999999996,1.22
columns_10_c2s,3144.0,63.96
columns_10_c2c,2578.0,63.96
columns_10_c2m,3189.3219999999965,63.96
columns_15_a1,5264.45,0.02
columns_15_a2,4412.43,0.16
columns_15_a3,4753.24,1.27
columns_15_a4,4293.15,1.27
columns_15_b1,4412.43,1.06
columns_15_b2,4497.64,78.62
columns_15_c1s,2917.0,1.26
columns_15_c1c,2430.0,1.26
columns_15_c1m,3312.427999999998,1.26
columns_15_c2s,2933.0,64.05
columns_15_c2c,2516.0,64.05
columns_15_c2m,3026.8719999999967,64.05
columns_20_a1,5264.45,0.02
columns_20_a2,4411.13,0.16
columns_20_a3,4240.47,1.27
columns_20_a4,4035.67,1.27
columns_20_b1,4411.13,1.06
columns_20_b2,4240.47,85.2
