result_key,surface_power [wh],runtime [sec]
rows_10_a1,15793.34,0.02
rows_10_a2,15793.34,0.16
rows_10_a3,14836.26,1.28
rows_10_a4,12922.11,1.27
rows_10_b1,14426.09,1.07
rows_10_b2,14881.84,101.7
rows_10_c1s,10750.0,1.38
rows_10_c1c,8304.0,1.38
rows_10_c1m,10877.532000000003,1.38
rows_10_c2s,9947.0,64.32
rows_10_c2c,7673.0,64.32
rows_10_c2m,10005.537000000004,64.32
rows_15_a1,15793.34,0.02
rows_15_a2,15793.34,0.16
rows_15_a3,14803.1,1.28
rows_15_a4,11436.27,1.29
rows_15_b1,14378.71,1.06
rows_15_b2,14378.71,85.39
rows_15_c1s,10717.0,1.35
rows_15_c1c,8279.0,1.35
rows_15_c1m,10841.292000000005,1.35
rows_15_c2s,9862.0,64.04
rows_15_c2c,7632.0,64.04
rows_15_c2m,9910.517000000005,64.04
rows_20_a1,15793.34,0.02
rows_20_a2,15793.34,0.16
rows_20_a3,13746.52,1.29
rows_20_a4,10676.3,1.3
rows_20_b1,14331.33,1.06
rows_20_b2,13709.97,82.32
rows_20_c1s,10684.0,1.28
rows_20_c1c,8254.0,1.28
rows_20_c1m,10805.088000000003,1.28
rows_20_c2s,8897.0,64.15
rows_20_c2c,6898.0,64.15
rows_20_c2m,8921.733,64.15
rows_25_a1,15793.34,0.02
rows_25_a2,15793.34,0.16
rows_25_a3,13680.19,1.27
rows_25_a4,9770.86,1.28
rows_25_b1,12774.55,1.08
rows_25_b2,13026.12,79.23
rows_25_c1s,9381.0,1.26
rows_25_c1c,7384.0,1.26
rows_25_c1m,9616.056000000002,1.26
rows_25_c2s,8730.0,64.29
rows_25_c2c,6844.0,64.29
rows_25_c2m,8821.082999999997,64.29
rows_30_a1,15793.34,0.02
rows_30_a2,15793.34,0.16
rows_30_a3,12524.12,1.28
rows_30_a4,8819.0,1.29
rows_30_b1,12679.79,1.09
rows_30_b2,12679.79,79.62
rows_30_c1s,9316.0,1.24
rows_30_c1c,7335.0,1.24
rows_30_c1m,9543.816000000003,1.24
rows_30_c2s,8667.0,64.29
rows_30_c2c,6807.0,64.29
rows_30_c2m,8750.878999999997,64.29
rows_35_a1,15793.34,0.02
rows_35_a2,10178.81,0.16
rows_35_a3,12424.62,1.27
rows_35_a4,8157.57,1.28
rows_35_b1,12585.03,1.08
rows_35_b2,11782.96,78.93
rows_35_c1s,9250.0,1.28
rows_35_c1c,7285.0,1.28
