result_key,surface_power [wh],runtime [sec]
rows_10_a1,10528.89,0.02
rows_10_a2,10528.89,0.16
rows_10_a3,9890.84,1.29
rows_10_a4,8614.74,1.29
rows_10_b1,9617.39,1.08
rows_10_b2,9921.22,102.54
rows_10_c1s,7130.0,1.38
rows_10_c1c,5485.0,1.38
rows_10_c1m,7213.860000000005,1.38
rows_10_c2s,6588.0,64.43
rows_10_c2c,5054.0,64.43
rows_10_c2m,6626.429000000008,64.43
rows_15_a1,10528.89,0.02
rows_15_a2,10528.89,0.16
rows_15_a3,9868.73,1.27
rows_15_a4,7624.18,1.27
rows_15_b1,9585.8,1.2
rows_15_b2,9585.8,95.15
rows_15_c1s,7108.0,1.34
rows_15_c1c,5468.0,1.34
rows_15_c1m,7189.896000000009,1.34
rows_15_c2s,6540.0,64.6
rows_15_c2c,5034.0,64.6
rows_15_c2m,6572.17900000001,64.6
rows_20_a1,10528.89,0.02
rows_20_a2,10528.89,0.16
rows_20_a3,9164.35,1.29
rows_20_a4,7117.53,1.27
rows_20_b1,9554.22,1.1
rows_20_b2,9139.98,89.12
rows_20_c1s,7087.0,1.3
rows_20_c1c,5452.0,1.3
rows_20_c1m,7165.980000000007,1.3
rows_20_c2s,5889.0,64.34
rows_20_c2c,4549.0,64.34
rows_20_c2m,5906.506000000008,64.34
rows_25_a1,10528.89,0.02
rows_25_a2,10528.89,0.16
rows_25_a3,9120.13,1.28
rows_25_a4,6513.91,1.28
rows_25_b1,8516.37,1.07
rows_25_b2,8684.08,90.29
rows_25_c1s,6219.0,1.28
rows_25_c1c,4884.0,1.28
rows_25_c1m,6373.0800000000045,1.28
rows_25_c2s,5762.0,65.18
rows_25_c2c,4503.0,65.18
rows_25_c2m,5819.977000000005,65.18
rows_30_a1,10528.89,0.02
rows_30_a2,10528.89,0.16
rows_30_a3,8341.58,1.3
rows_30_a4,5862.62,1.28
rows_30_b1,8445.74,1.07
rows_30_b2,8445.74,98.33
rows_30_c1s,6176.0,1.32
rows_30_c1c,4851.0,1.32
rows_30_c1m,6325.392000000007,1.32
rows_30_c2s,5705.0,65.21
rows_30_c2c,4466.0,65.21
rows_30_c2m,5756.8210000000045,65.21
rows_35_a1,10528.89,0.02
rows_35_a2,6671.46,0.16
rows_35_a3,8214.43,1.29
rows_35_a4,5282.78,1.28
rows_35_b1,8324.64,1.08
rows_35_b2,7773.58,91.7
rows_35_c1s,6132.0,1.38
rows_35_c1c,4819.0,1.38
rows_35_c1m,6277.824000000007,1.38
rows_35_c2s,5029.0,65.39
rows_35_c2c,3958.0,65.39
rows_35_c2m,5049.957000000002,65.39
rows_40_a1,10528.89,0.02
rows_40_a2,6474.41,0.16
rows_40_a3,7285.31,1.28
rows_40_a4,4690.44,1.29
rows_40_b1,7053.62,1.08
rows_40_b2,7246.69,96.03
rows_40_c1s,5179.0,1.31
rows_40_c1c,3954.0,1.31
rows_40_c1m,5389.9680000000035,1.31
rows_40_c2s,4881.0,64.73
rows_40_c2c,3882.0,64.73
rows_40_c2m,4954.571000000007,64.73
rows_45_a1,10528.89,0.02
rows_45_a2,6292.22,0.16
rows_45_a3,7139.55,1.29
rows_45_a4,4089.15,1.27
rows_45_b1,6897.46,1.08
rows_45_b2,6695.71,90.47
rows_45_c1s,5114.0,1.31
rows_45_c1c,3910.0,1.31
rows_45_c1m,5318.940000000005,1.31
rows_45_c2s,4541.0,64.93
rows_45_c2c,3336.0,64.93
rows_45_c2m,4606.184000000004,64.93
rows_50_a1,10528.89,0.02
rows_50_a2,6124.88,0.16
rows_50_a3,6124.88,1.32
rows_50_a4,3306.32,1.33
rows_50_b1,6754.03,1.12
rows_50_b2,6124.88,89.98
rows_50_c1s,5049.0,1.28
rows_50_c1c,3865.0,1.28
rows_50_c1m,5248.128,1.28
rows_50_c2s,4005.0,65.13
rows_50_c2c,3231.0,65.13
rows_50_c2m,4012.3440000000014,65.13
rows_55_a1,1415.93,0.02
rows_55_a2,5972.41,0.16
rows_55_a3,5061.11,1.31
rows_55_a4,2782.87,1.3
rows_55_b1,5321.48,1.07
rows_55_b2,5538.46,94.12
rows_55_c1s,4010.0,1.32
rows_55_c1c,2891.0,1.32
rows_55_c1m,4266.384,1.32
rows_55_c2s,3815.0,66.08
rows_55_c2c,3057.0,66.08
rows_55_c2m,3885.445000000002,66.08
rows_60_a1,1140.69,0.02
rows_60_a2,5834.79,0.16
rows_60_a3,4895.97,1.32
rows_60_a4,2361.16,1.31
rows_60_b1,5164.21,1.09
rows_60_b2,4940.68,96.8
rows_60_c1s,3925.0,1.31
rows_60_c1c,2814.0,1.31
rows_60_c1m,4172.687999999995,1.31
rows_60_c2s,3454.0,65.08
rows_60_c2c,2538.0,65.08
rows_60_c2m,3516.045000000005,65.08
rows_65_a1,895.17,0.02
rows_65_a2,5712.03,0.16
rows_65_a3,3785.29,1.32
rows_65_a4,2051.22,1.29
rows_65_b1,3647.67,1.08
rows_65_b2,4335.79,96.35
rows_65_c1s,2824.0,1.71
rows_65_c1c,2103.0,1.71
rows_65_c1m,3121.44,1.71
rows_65_c2s,2940.0,65.14
rows_65_c2c,2480.0,65.14
rows_65_c2m,2996.5290000000023,65.14
rows_70_a1,679.37,0.02
rows_70_a2,679.37,0.17
rows_70_a3,3634.23,1.31
rows_70_a4,1762.82,1.3
rows_70_b1,3493.52,1.08
rows_70_b2,3493.52,87.9
rows_70_c1s,2718.0,1.28
rows_70_c1c,2005.0,1.28
rows_70_c1m,3005.3999999999965,1.28
rows_70_c2s,2717.0,65.39
rows_70_c2c,2128.0,65.39
rows_70_c2m,2784.8130000000006,65.39
rows_75_a1,493.29,0.02
rows_75_a2,493.29,0.16
rows_75_a3,2500.41,1.3
rows_75_a4,1396.5,1.29
rows_75_b1,3360.61,1.09
rows_75_b2,3121.66,91.69
rows_75_c1s,2613.0,1.3
rows_75_c1c,1914.0,1.3
rows_75_c1m,2890.14,1.3
rows_75_c2s,2340.0,64.39
rows_75_c2c,1760.0,64.39
rows_75_c2m,2396.556000000002,64.39
rows_80_a1,336.92,0.02
rows_80_a2,336.92,0.16
rows_80_a3,2375.32,1.29
rows_80_a4,1152.28,1.28
rows_80_b1,1792.92,1.06
rows_80_b2,2278.25,84.87
rows_80_c1s,1431.0,1.21
rows_80_c1c,1162.0,1.21
rows_80_c1m,1748.7119999999984,1.21
rows_80_c2s,1516.0,65.34
rows_80_c2c,1198.0,65.34
rows_80_c2m,1576.0749999999991,65.34
rows_85_a1,210.27,0.02
rows_85_a2,210.27,0.16
rows_85_a3,1242.14,1.29
rows_85_a4,932.58,1.28
rows_85_b1,1684.36,1.07
rows_85_b2,1684.36,97.31
rows_85_c1s,1307.0,1.38
rows_85_c1c,1054.0,1.38
rows_85_c1m,1612.7759999999992,1.38
rows_85_c2s,1395.0,65.15
rows_85_c2c,1091.0,65.15
rows_85_c2m,1438.601999999999,65.15
rows_90_a1,113.34,0.02
rows_90_a2,113.34,0.16
rows_90_a3,1154.9,1.29
rows_90_a4,842.43,1.27
rows_90_b1,1601.28,1.08
rows_90_b2,1105.3,93.99
rows_90_c1s,1184.0,1.3
rows_90_c1c,946.0,1.3
rows_90_c1m,1478.568000000001,1.3
rows_90_c2s,745.0,65.0
rows_90_c2c,496.0,65.0
rows_90_c2m,776.4959999999999,65.0
columns_10_a1,10528.89,0.02
columns_10_a2,10528.89,0.16
columns_10_a3,9540.17,1.28
columns_10_a4,9144.68,1.28
columns_10_b1,9704.95,1.07
columns_10_b2,9540.17,90.88
columns_10_c1s,6933.0,1.27
columns_10_c1c,5883.0,1.27
columns_10_c1m,7336.217000000009,1.27
columns_10_c2s,6432.0,64.93
columns_10_c2c,5320.0,64.93
columns_10_c2m,6526.849000000008,64.93
columns_15_a1,10528.89,0.02
columns_15_a2,8875.66,0.16
columns_15_a3,9536.95,1.3
columns_15_a4,8644.21,1.33
columns_15_b1,8875.66,1.08
columns_15_b2,9040.98,92.48
columns_15_c1s,5955.0,1.33
columns_15_c1c,4983.0,1.33
columns_15_c1m,6756.834000000005,1.33
columns_15_c2s,6001.0,64.71
columns_15_c2c,5171.0,64.71
columns_15_c2m,6165.123000000009,64.71
columns_20_a1,10528.89,0.02
columns_20_a2,8870.44,0.16
columns_20_a3,8538.75,1.3
columns_20_a4,8140.72,1.29
columns_20_b1,8870.44,1.08
columns_20_b2,8538.75,95.06
columns_20_c1s,5956.0,1.3
columns_20_c1c,4977.0,1.3
columns_20_c1m,6752.340000000004,1.3
columns_20_c2s,5634.0,64.5
columns_20_c2c,4937.0,64.5
columns_20_c2m,5795.449000000009,64.5
columns_25_a1,10528.89,0.02
columns_25_a2,8865.36,0.16
columns_25_a3,7534.54,1.28
columns_25_a4,7634.35,1.28
columns_25_b1,8033.6,1.08
columns_25_b2,8033.6,86.27
columns_25_c1s,4980.0,1.23
columns_25_c1c,4046.0000000000005,1.23
columns_25_c1m,6166.230000000005,1.23
columns_25_c2s,5385.0,64.37
columns_25_c2c,4685.0,64.37
columns_25_c2m,5625.235000000008,64.37
columns_30_a1,10528.89,0.02
columns_30_a2,7191.95,0.16
columns_30_a3,7525.64,1.28
columns_30_a4,7125.21,1.28
columns_30_b1,7191.95,1.07
columns_30_b2,7525.64,83.98
columns_30_c1s,4008.0,1.23
columns_30_c1c,3160.0,1.23
columns_30_c1m,5575.6680000000015,1.23
columns_30_c2s,4836.0,65.98
columns_30_c2c,4110.0,65.98
columns_30_c2m,5087.514000000007,65.98
columns_35_a1,10528.89,0.02
columns_35_a2,7182.34,0.16
columns_35_a3,6513.02,1.32
columns_35_a4,6613.42,1.31
columns_35_b1,7182.34,1.1
columns_35_b2,7015.01,97.12
columns_35_c1s,4008.0,1.29
columns_35_c1c,3156.0,1.29
columns_35_c1m,5566.736000000006,1.29
columns_35_c2s,4588.0,64.58
columns_35_c2c,3964.0,64.58
columns_35_c2m,4909.814000000006,64.58
columns_40_a1,10528.89,0.02
columns_40_a2,7173.0,0.16
columns_40_a3,6501.82,1.28
columns_40_a4,6099.11,1.31
columns_40_b1,6334.03,1.09
columns_40_b2,6501.82,88.25
columns_40_c1s,3041.0,1.29
columns_40_c1c,2264.0,1.29
columns_40_c1m,4969.474999999997,1.29
columns_40_c2s,4160.0,65.44
columns_40_c2c,3386.0,65.44
columns_40_c2m,4565.505000000006,65.44
columns_45_a1,10528.89,0.02
columns_45_a2,5481.46,0.17
columns_45_a3,5481.46,1.33
columns_45_a4,5582.41,1.31
columns_45_b1,6322.7,1.09
columns_45_b2,5986.21,93.6
columns_45_c1s,3042.0,1.27
columns_45_c1c,2264.0,1.27
columns_45_c1m,4958.310000000001,1.27
columns_45_c2s,3794.0,64.45
columns_45_c2c,3263.0,64.45
columns_45_c2m,4195.8170000000055,64.45
columns_50_a1,407.68,0.02
columns_50_a2,5468.29,0.16
columns_50_a3,5468.29,1.29
columns_50_a4,5063.44,1.29
columns_50_b1,5468.29,1.09
columns_50_b2,5468.29,91.34
columns_50_c1s,2084.0,1.29
columns_50_c1c,1501.0,1.29
columns_50_c1m,4354.433999999997,1.29
columns_50_c2s,3542.0,64.3
columns_50_c2c,3046.0,64.3
columns_50_c2m,3938.830999999999,64.3
columns_55_a1,382.15,0.02
columns_55_a2,3764.4,0.16
columns_55_a3,4440.85,1.29
columns_55_a4,4542.31,1.29
columns_55_b1,4609.96,1.09
columns_55_b2,4948.18,86.55
columns_55_c1s,1236.0,1.26
columns_55_c1c,775.0,1.26
